module,debug_id,debug_filename,url,size,compressed_size
XUL,F86150996FA0373D968BA8783031B0F40,XUL.sym,https://symbols.mozilla.org/XUL/F86150996FA0373D968BA8783031B0F40/XUL.sym,689479169,118680942
XUL,6B1845AD92A432AF861374BCAB0A1A4F0,XUL.sym,https://symbols.mozilla.org/XUL/6B1845AD92A432AF861374BCAB0A1A4F0/XUL.sym,897252970,162182288
XUL,0054B48DD44F396DB04A72AD2D7630CA0,XUL.sym,https://symbols.mozilla.org/XUL/0054B48DD44F396DB04A72AD2D7630CA0/XUL.sym,775642782,143843809
XUL,80C94545C4853BEEA46BA7CB3CC34DC40,XUL.sym,https://symbols.mozilla.org/XUL/80C94545C4853BEEA46BA7CB3CC34DC40/XUL.sym,950328734,174230579
XUL,82A4E32B0F353853AC976D5359B2BF490,XUL.sym,https://symbols.mozilla.org/XUL/82A4E32B0F353853AC976D5359B2BF490/XUL.sym,828379943,155810990
XUL,47EFE97F538034C4B9E340AD802BBE690,XUL.sym,https://symbols.mozilla.org/XUL/47EFE97F538034C4B9E340AD802BBE690/XUL.sym,804860084,135232765
XUL,E81512A1DB2A3A84A2F4CB71F9D13E650,XUL.sym,https://symbols.mozilla.org/XUL/E81512A1DB2A3A84A2F4CB71F9D13E650/XUL.sym,823188129,144798543
XUL,09CBF7349D4A3C35BA7375602E978C9E0,XUL.sym,https://symbols.mozilla.org/XUL/09CBF7349D4A3C35BA7375602E978C9E0/XUL.sym,695330984,125187664
XUL,47EFE97F538034C4B9E340AD802BBE690,XUL.sym,https://symbols.mozilla.org/XUL/47EFE97F538034C4B9E340AD802BBE690/XUL.sym,804860084,135232765
XUL,DDAD5C21201132DB9D83B3BE64EDAA5F0,XUL.sym,https://symbols.mozilla.org/XUL/DDAD5C21201132DB9D83B3BE64EDAA5F0/XUL.sym,681093291,117271274
XUL,6155EE9A77FF3E38A08FE026479833880,XUL.sym,https://symbols.mozilla.org/XUL/6155EE9A77FF3E38A08FE026479833880/XUL.sym,804900695,135245385
XUL,0F70FAE6717C3E909937D0D0F9DE96820,XUL.sym,https://symbols.mozilla.org/XUL/0F70FAE6717C3E909937D0D0F9DE96820/XUL.sym,681133860,117273441
XUL,727EB8F8DD20385DB57DB1B7F6FDFAB10,XUL.sym,https://symbols.mozilla.org/XUL/727EB8F8DD20385DB57DB1B7F6FDFAB10/XUL.sym,823148164,144787689
XUL,5394046BF9D23793B4614C09838ECD2F0,XUL.sym,https://symbols.mozilla.org/XUL/5394046BF9D23793B4614C09838ECD2F0/XUL.sym,695292026,125174563
XUL,9417BBE2CF4132DFB8D6A285D2680AD60,XUL.sym,https://symbols.mozilla.org/XUL/9417BBE2CF4132DFB8D6A285D2680AD60/XUL.sym,886619730,160200017
XUL,DD87F39ADD2D3EF4AA68BE5B76A98B7B0,XUL.sym,https://symbols.mozilla.org/XUL/DD87F39ADD2D3EF4AA68BE5B76A98B7B0/XUL.sym,765370456,141920170
XUL,8A93C23BAFB93D249539637837AA56F00,XUL.sym,https://symbols.mozilla.org/XUL/8A93C23BAFB93D249539637837AA56F00/XUL.sym,939507415,172194998
XUL,C8508640FD7E30858578C6F6BA6C79300,XUL.sym,https://symbols.mozilla.org/XUL/C8508640FD7E30858578C6F6BA6C79300/XUL.sym,817905914,153862290
XUL,421EEF6A65FD3F4C9B0F6C1BBE9ADA960,XUL.sym,https://symbols.mozilla.org/XUL/421EEF6A65FD3F4C9B0F6C1BBE9ADA960/XUL.sym,705833182,127072416
XUL,70374B3A99CE34D1BDCFF5982D810B5F0,XUL.sym,https://symbols.mozilla.org/XUL/70374B3A99CE34D1BDCFF5982D810B5F0/XUL.sym,834229918,146761106
XUL,DF2263A074FC38A0811194EFC437B7C20,XUL.sym,https://symbols.mozilla.org/XUL/DF2263A074FC38A0811194EFC437B7C20/XUL.sym,814103242,136829404
XUL,F26D20331A5F30E689DC88312D3E438B0,XUL.sym,https://symbols.mozilla.org/XUL/F26D20331A5F30E689DC88312D3E438B0/XUL.sym,689848597,118776320
XUL,541C2C1CAF153C4B888D64E96CAFB7B90,XUL.sym,https://symbols.mozilla.org/XUL/541C2C1CAF153C4B888D64E96CAFB7B90/XUL.sym,815170419,137108242
XUL,BB60559DFE2632D9A0E2718B5BCE9C530,XUL.sym,https://symbols.mozilla.org/XUL/BB60559DFE2632D9A0E2718B5BCE9C530/XUL.sym,848236150,149940778
XUL,EBE5F86344FA39AEBC44E259158047110,XUL.sym,https://symbols.mozilla.org/XUL/EBE5F86344FA39AEBC44E259158047110/XUL.sym,715641602,129676816
XUL,7270A2C60FC533FB8E8C024DFF89BBEC0,XUL.sym,https://symbols.mozilla.org/XUL/7270A2C60FC533FB8E8C024DFF89BBEC0/XUL.sym,685690811,118223771
XUL,27E95FDCD35F398585405C7DE435DEBA0,XUL.sym,https://symbols.mozilla.org/XUL/27E95FDCD35F398585405C7DE435DEBA0/XUL.sym,897252949,162181422
XUL,35F9CA940DD43AC2B3D9C292FD6226730,XUL.sym,https://symbols.mozilla.org/XUL/35F9CA940DD43AC2B3D9C292FD6226730/XUL.sym,775642761,143844890
XUL,505368FD38123038A665739D182D822E0,XUL.sym,https://symbols.mozilla.org/XUL/505368FD38123038A665739D182D822E0/XUL.sym,950328741,174231117
XUL,B55BF0C6C75637568AD0E05C4FBF32140,XUL.sym,https://symbols.mozilla.org/XUL/B55BF0C6C75637568AD0E05C4FBF32140/XUL.sym,828378154,155807462
XUL,69DE088D0D6930868B5CCBB689B111C90,XUL.sym,https://symbols.mozilla.org/XUL/69DE088D0D6930868B5CCBB689B111C90/XUL.sym,681013301,117246634
XUL,A887942CACAF313ABFE27B3869058D9E0,XUL.sym,https://symbols.mozilla.org/XUL/A887942CACAF313ABFE27B3869058D9E0/XUL.sym,804776408,135207664
XUL,16DA8E661A9A33C3ABAC45843F6FA7C50,XUL.sym,https://symbols.mozilla.org/XUL/16DA8E661A9A33C3ABAC45843F6FA7C50/XUL.sym,681053084,117247207
