module,debug_id,debug_filename,url,size,compressed_size
XUL,0602DE23D4863E62A15597A6075DD6260,XUL.sym,https://symbols.mozilla.org/XUL/0602DE23D4863E62A15597A6075DD6260/XUL.sym,0,20
XUL,5DC039D0912D35D9BA565AA45AC278570,XUL.sym,https://symbols.mozilla.org/XUL/5DC039D0912D35D9BA565AA45AC278570/XUL.sym,141168460,26117419
XUL,EE81E3A7C696309996B9E52511BB7B150,XUL.sym,https://symbols.mozilla.org/XUL/EE81E3A7C696309996B9E52511BB7B150/XUL.sym,122774169,22119069
XUL,13755A4544513246A313A58C1C1437E70,XUL.sym,https://symbols.mozilla.org/XUL/13755A4544513246A313A58C1C1437E70/XUL.sym,131652024,23036018
XUL,EB3C6D709B413CA6B803E38FDE9E0B090,XUL.sym,https://symbols.mozilla.org/XUL/EB3C6D709B413CA6B803E38FDE9E0B090/XUL.sym,122763915,22117548
XUL,B39251C795C5354FBA6BD2F0B3000E750,XUL.sym,https://symbols.mozilla.org/XUL/B39251C795C5354FBA6BD2F0B3000E750/XUL.sym,135841478,25766131
XUL,5F2D3198E4FD37E4B191E87BF9F0134E0,XUL.sym,https://symbols.mozilla.org/XUL/5F2D3198E4FD37E4B191E87BF9F0134E0/XUL.sym,135854408,25772854
XUL,AFB5F075C1613C779FA04F507151AB620,XUL.sym,https://symbols.mozilla.org/XUL/AFB5F075C1613C779FA04F507151AB620/XUL.sym,143013644,28432756
XUL,3D7228754FE03D1E9BE9922F2BE0B7370,XUL.sym,https://symbols.mozilla.org/XUL/3D7228754FE03D1E9BE9922F2BE0B7370/XUL.sym,141156919,26114681
XUL,D25EAA257E2739F78FF4CD00F69008100,XUL.sym,https://symbols.mozilla.org/XUL/D25EAA257E2739F78FF4CD00F69008100/XUL.sym,137896585,25444386
XUL,5D17D8E4D96E313D8607AE0275C540020,XUL.sym,https://symbols.mozilla.org/XUL/5D17D8E4D96E313D8607AE0275C540020/XUL.sym,141150892,26112039
XUL,0E6F8E3A0B8F3E5F90228B44F3D3783B0,XUL.sym,https://symbols.mozilla.org/XUL/0E6F8E3A0B8F3E5F90228B44F3D3783B0/XUL.sym,160374270,30668254
XUL,6C817BE622CA3348A1798DA780ED3FBA0,XUL.sym,https://symbols.mozilla.org/XUL/6C817BE622CA3348A1798DA780ED3FBA0/XUL.sym,136871029,23845947
XUL,22393FBBA236387D8066EE162DE4BA700,XUL.sym,https://symbols.mozilla.org/XUL/22393FBBA236387D8066EE162DE4BA700/XUL.sym,122775925,22120258
XUL,CDD4FD0F950438A596AB6631EC4652880,XUL.sym,https://symbols.mozilla.org/XUL/CDD4FD0F950438A596AB6631EC4652880/XUL.sym,152601121,30596065
XUL,09E7809AA7CF3FB2B93E7E29121C80C40,XUL.sym,https://symbols.mozilla.org/XUL/09E7809AA7CF3FB2B93E7E29121C80C40/XUL.sym,141171960,26116591
XUL,C73353B609B5366FA8C146CCA91B95E20,XUL.sym,https://symbols.mozilla.org/XUL/C73353B609B5366FA8C146CCA91B95E20/XUL.sym,156104946,29966526
XUL,442DFAEAB94C3E438D01ED9EA56272080,XUL.sym,https://symbols.mozilla.org/XUL/442DFAEAB94C3E438D01ED9EA56272080/XUL.sym,126764179,24291639
XUL,4FA53D191337341C8B02625C614711B80,XUL.sym,https://symbols.mozilla.org/XUL/4FA53D191337341C8B02625C614711B80/XUL.sym,143013644,28432747
XUL,86DC8D9B63FA3773A6420A2205AFC9EA0,XUL.sym,https://symbols.mozilla.org/XUL/86DC8D9B63FA3773A6420A2205AFC9EA0/XUL.sym,126815640,24291699
XUL,86276CA7E8BC34BA9A81E0BBF1BFDC170,XUL.sym,https://symbols.mozilla.org/XUL/86276CA7E8BC34BA9A81E0BBF1BFDC170/XUL.sym,112184212,20748793
XUL,C963DFC68A313B038F8AFCCCA8A04F700,XUL.sym,https://symbols.mozilla.org/XUL/C963DFC68A313B038F8AFCCCA8A04F700/XUL.sym,143013644,28432771
XUL,CD1FA48209F139DF91E0373D4976966F0,XUL.sym,https://symbols.mozilla.org/XUL/CD1FA48209F139DF91E0373D4976966F0/XUL.sym,152616298,30603401
