"Time","mem.mean"
1638162000000,12.14543012272781
1638162300000,12.133629562610428
1638162600000,12.273624185642305
1638162900000,13.396215090629692
1638163200000,12.13565832641371
1638163500000,12.134596821636444
1638163800000,12.13693808450967
1638164100000,12.437219928908942
1638164400000,12.167305057623837
1638164700000,12.618206493433055
1638165000000,12.38654547655116
1638165300000,12.155132474804143
1638165600000,12.169348702335212
1638165900000,12.13942815646382
1638166200000,12.139249585566711
1638166500000,12.883865425003695
1638166800000,12.159328890886238
1638167100000,13.306532817858676
1638167400000,12.161551106494723
1638167700000,13.218259271053757
1638168000000,14.601499201887297
1638168300000,14.57475821004501
1638168600000,12.842794118668298
1638168900000,12.712675458307169
1638169200000,13.158467782337947
1638169500000,13.122991697445343
1638169800000,13.020144781315134
1638170100000,12.914068708128843
1638170400000,12.871777167329858
1638170700000,13.645361174520314
1638171000000,12.821722752809269
1638171300000,12.748444201058925
1638171600000,12.698032644744114
1638171900000,12.680517815919199
1638172200000,12.72367244938755
1638172500000,13.608868227574721
1638172800000,13.056766696130865
1638173100000,12.709163563997329
1638173400000,12.66134128569062
1638173700000,12.393718074251764
1638174000000,12.39813274365255
1638174300000,12.386178414151546
1638174600000,12.384978020898748
1638174900000,12.38270124196059
1638175200000,12.780844898279073
1638175500000,12.700755850925047
1638175800000,13.375034598111313
1638176100000,12.384105007623987
1638176400000,12.370171517346673
1638176700000,12.764575105431234
1638177000000,13.24755977908796
1638177300000,12.382611956512033
1638177600000,12.798538298001096
1638177900000,12.733394642674673
1638178200000,12.365072326173633
1638178500000,12.76809692034647
1638178800000,12.348857096655465
1638179100000,13.26671646810575
1638179400000,13.624126118672265
1638179700000,12.850056001817455
1638180000000,12.77239750278521
1638180300000,13.080958092386629
1638180600000,12.367939381132794
1638180900000,12.378787563132253
1638181200000,12.404600978370105
1638181500000,13.105491749528522
1638181800000,13.697330265882147
1638182100000,12.347899758234846
1638182400000,12.958661829379475
1638182700000,12.362939396013703
1638183000000,13.058061335134914
1638183300000,12.378370897705661
1638183600000,12.369496916179813
1638183900000,12.967729262710526
1638184200000,12.37978954427715
1638184500000,12.384546474564065
1638184800000,12.383301438586987
1638185100000,12.358901709617928
1638185400000,12.347869996418662
1638185700000,12.902848503427071
1638186000000,12.654535750389632
1638186300000,12.738201175988564
1638186600000,12.368202277175762
1638186900000,13.032709228047931
1638187200000,12.358693376904634
1638187500000,12.929118266513097
1638187800000,12.572770120723847
1638188100000,12.409347988051623
1638188400000,13.047481009481123
1638188700000,13.32995040689363
1638189000000,12.698965181651243
1638189300000,12.380935374200277
1638189600000,13.654850233580655
1638189900000,12.856048047476047
1638190200000,12.37819232680855
1638190500000,13.396259733353968
1638190800000,12.367651683576337
1638191100000,13.468913286964426
1638191400000,12.686445377642723
1638191700000,12.382249854415116
1638192000000,12.643087371763773
1638192300000,13.25364111019511
1638192600000,13.164380463153384
1638192900000,13.977622090410446
1638193200000,12.659659743076162
1638193500000,12.365593157956871
1638193800000,12.890502310012966
1638194100000,12.366753868788088
1638194400000,12.37195226601508
1638194700000,13.232683831298122
1638195000000,12.48259677798578
