"Time","processor.rule.act.timing.mean"
1638162000000,2961.736583625209
1638162300000,2759.1702213341273
1638162600000,2894.8351998476614
1638162900000,2932.55965870454
1638163200000,3213.719258078344
1638163500000,3074.9228286356256
1638163800000,3126.0664688040865
1638164100000,2977.1740463560745
1638164400000,3450.789369688234
1638164700000,3075.8194377127174
1638165000000,3379.562029753802
1638165300000,2847.0884666941433
1638165600000,3484.348367958862
1638165900000,3451.426710375855
1638166200000,3237.9525720774004
1638166500000,3478.895585254356
1638166800000,3766.5405629795837
1638167100000,3659.6086428809576
1638167400000,3693.5868440523286
1638167700000,3436.0381542660957
1638168000000,3787.532806784476
1638168300000,3667.6328291541504
1638168600000,3490.14617546974
1638168900000,3753.9450032570167
1638169200000,3790.277241390276
1638169500000,3657.8710232413737
1638169800000,3162.2859895783713
1638170100000,3726.0016361586813
1638170400000,3757.1716984874465
1638170700000,3779.7723127295126
1638171000000,3314.552804230571
1638171300000,3399.713540317713
1638171600000,3319.5197046070375
1638171900000,2974.4177208975134
1638172200000,3372.1898703851502
1638172500000,3102.204522677754
1638172800000,3369.9620454872816
1638173100000,3466.297931709851
1638173400000,3492.9114321112206
1638173700000,3315.993873122802
1638174000000,3324.170146680175
1638174300000,3243.3987910914557
1638174600000,3535.262778073523
1638174900000,3490.8820494900488
1638175200000,3338.2512086575075
1638175500000,3320.134982895856
1638175800000,3524.6626430656256
1638176100000,3082.0734374044273
1638176400000,3459.176522153872
1638176700000,3248.0831941165493
1638177000000,3281.626296259884
1638177300000,3686.858288602287
1638177600000,3417.397512251868
1638177900000,3377.406420408567
1638178200000,3507.5066149146846
1638178500000,3019.320128482378
1638178800000,3258.1821118232965
1638179100000,3324.9770205749696
1638179400000,3080.69543462892
1638179700000,3237.9547585296805
1638180000000,3122.2197041510326
1638180300000,3175.8376442397216
1638180600000,3177.3897331159405
1638180900000,3062.3372721331802
1638181200000,3123.0897397549943
1638181500000,3271.1055793329074
1638181800000,3482.7888380571862
1638182100000,3210.7035538021178
1638182400000,3340.7520234463104
1638182700000,3479.4815426694227
1638183000000,3006.608269106878
1638183300000,2790.866519557135
1638183600000,3110.2043227276786
1638183900000,3494.6268756411814
1638184200000,3343.2456517748137
1638184500000,3309.7441773378323
1638184800000,3367.088215708755
1638185100000,3021.8268312321975
1638185400000,3142.98962688668
1638185700000,3344.22110125913
1638186000000,3084.3611554817962
1638186300000,3166.3172230227256
1638186600000,3191.044283729843
1638186900000,3223.3752072688094
1638187200000,3067.631757204844
1638187500000,2795.7542472742994
1638187800000,3392.615339586177
1638188100000,3200.0798685938303
1638188400000,3372.1670336858156
1638188700000,3117.924302261281
1638189000000,3032.188015126262
1638189300000,3021.4861179684153
1638189600000,3266.505544177473
1638189900000,2980.651280467037
1638190200000,2997.002264792724
1638190500000,3276.5477108438636
1638190800000,3332.4327937395924
1638191100000,3088.384789740351
1638191400000,3268.4751535969303
1638191700000,3183.5449852763436
1638192000000,3113.0358740841384
1638192300000,3380.8975795482847
1638192600000,3129.9247493191465
1638192900000,3257.151483130078
1638193200000,3465.71089387728
1638193500000,2995.415157023584
1638193800000,2997.5057840643335
1638194100000,3132.686171137334
1638194400000,3051.4131954039285
1638194700000,3023.980848320224
1638195000000,3253.470660017758
1638195300000,3140.3521651173487
1638195600000,3374.5037860435755
1638195900000,3091.518328011659
1638196200000,3011.035429262478
1638196500000,2914.7429559269444
1638196800000,3539.6483930162235
1638197100000,3463.143937337683
1638197400000,3168.8042029280473
1638197700000,3105.1130799981242
1638198000000,3007.073634231484
1638198300000,3252.682789189188
1638198600000,3256.657472471117
1638198900000,3185.8669534668725
1638199200000,3280.7332594564
1638199500000,3385.521698515903
1638199800000,3917.615444321069
1638200100000,5227.434485645122
1638200400000,5232.435815303523
1638200700000,5124.090314377634
1638201000000,5010.697904193282
1638201300000,5095.850376649379
1638201600000,4009.8584776073762
1638201900000,2558.989586062249
1638202200000,2599.1194204102017
1638202500000,1986.9133983578363
1638202800000,2860.3792347022895
1638203100000,2399.7579792718125
1638203400000,2421.4189665301265
1638203700000,2409.417597047125
1638204000000,2587.9643789372835
1638204300000,2530.027821905791
1638204600000,2532.537431050979
1638204900000,2710.102331435966
1638205200000,2621.055500727028
1638205500000,2687.4222802790105
1638205800000,2604.638837905084
1638206100000,2521.705668264404
1638206400000,3240.127408863686
1638206700000,2705.9280280747453
1638207000000,2928.3822315706752
1638207300000,2959.3298645805808
1638207600000,2848.4342516334364
1638207900000,2920.0796373263242
1638208200000,2919.7485834605523
1638208500000,3445.53565369301
1638208800000,3274.141328235063
1638209100000,3567.0439473442766
1638209400000,3209.44835904209
1638209700000,2896.960315154006
1638210000000,3084.4431889984876
1638210300000,2883.729320735457
1638210600000,2621.5609371084397
1638210900000,2512.3556033509617
1638211200000,2999.1963256836802
1638211500000,3493.8397236976934
1638211800000,3445.073846432875
1638212100000,3234.2935888845586
