"index","uuid","stage_started_datetime","stage_completed_datetime","stage_delta","prod_started_datetime","prod_completed_datetime","prod_delta"
77,099a25e8-21c8-4d5e-bddc-7c2600211201,2021-12-01 19:01:51.003308+00:00,2021-12-01 19:01:51.007169+00:00,0,2021-12-01 19:01:51.099292+00:00,2021-12-01 19:01:51.155559+00:00,0
78,536e57c8-6aa8-43e7-b240-f69b60211201,2021-12-01 19:03:55.343965+00:00,2021-12-01 19:04:01.183635+00:00,5,2021-12-01 19:03:53.217671+00:00,2021-12-01 19:03:58.259433+00:00,5
79,6d0aae9f-0666-4bf3-a0d7-bd7ce0211201,2021-12-01 19:16:33.440556+00:00,2021-12-01 19:16:35.026283+00:00,1,2021-12-01 19:16:30.777842+00:00,2021-12-01 19:16:34.757090+00:00,3
80,1122b1f9-66d8-4721-ac7e-297bb0211201,2021-12-01 19:15:35.415425+00:00,2021-12-01 19:15:40.174236+00:00,4,2021-12-01 19:15:36.679970+00:00,2021-12-01 19:15:45.808827+00:00,9
81,3ae520bc-17af-48e9-8aa5-d89bb0211201,2021-12-01 19:10:50.721956+00:00,2021-12-01 19:10:55.690720+00:00,4,2021-12-01 19:10:36.490491+00:00,2021-12-01 19:10:45.884123+00:00,9
82,554b9592-b122-4dbb-8bb5-7441e0211201,2021-12-01 19:22:43.177853+00:00,2021-12-01 19:22:46.615717+00:00,3,2021-12-01 19:21:49.967797+00:00,2021-12-01 19:21:55.580521+00:00,5
83,8395a278-0ca4-4738-bbaa-783670211201,2021-12-01 19:16:40.974975+00:00,2021-12-01 19:16:43.198604+00:00,2,2021-12-01 19:16:47.890640+00:00,2021-12-01 19:16:51.488503+00:00,3
84,436fe05d-b92b-4a9b-a68e-809e60211201,2021-12-01 19:17:17.113915+00:00,2021-12-01 19:17:19.609400+00:00,2,2021-12-01 19:17:25.813073+00:00,2021-12-01 19:17:31.107366+00:00,5
85,172820e3-1eae-442d-90e4-2e02e0211201,2021-12-01 19:16:33.470840+00:00,2021-12-01 19:16:36.096420+00:00,2,2021-12-01 19:16:19.603167+00:00,2021-12-01 19:16:22.206309+00:00,2
86,c207049f-f0ad-4531-ae86-9a9a10211201,2021-12-01 19:23:49.168242+00:00,2021-12-01 19:23:50.893321+00:00,1,2021-12-01 19:23:45.601921+00:00,2021-12-01 19:23:50.978830+00:00,5
87,ef1a8132-af9b-4d2a-b0f9-fc0620211201,2021-12-01 19:29:16.585463+00:00,2021-12-01 19:29:22.262379+00:00,5,2021-12-01 19:29:17.676499+00:00,2021-12-01 19:29:27.857308+00:00,10
88,927701f6-8d49-467f-88f0-789080211201,2021-12-01 19:29:09.163845+00:00,2021-12-01 19:29:13.387878+00:00,4,2021-12-01 19:29:02.276583+00:00,2021-12-01 19:29:06.590957+00:00,4
89,19095595-380a-4e1c-9d9b-b5d610211201,2021-12-01 19:26:58.163643+00:00,2021-12-01 19:27:01.665019+00:00,3,2021-12-01 19:26:56.371837+00:00,2021-12-01 19:27:01.472250+00:00,5
90,b5d003f1-2f77-4cc5-89e1-00bf70211201,2021-12-01 19:31:26.312678+00:00,2021-12-01 19:31:26.357465+00:00,0,2021-12-01 19:31:14.339150+00:00,2021-12-01 19:31:14.450252+00:00,0
91,6b3ef9c1-9160-40c0-8026-87af00211201,2021-12-01 19:39:43.602571+00:00,2021-12-01 19:39:45.497098+00:00,1,2021-12-01 19:39:45.020569+00:00,2021-12-01 19:39:51.518274+00:00,6
92,d7cf585a-27fb-4790-94f6-f6c550211201,2021-12-01 19:35:13.928003+00:00,2021-12-01 19:35:18.327831+00:00,4,2021-12-01 19:35:11.468579+00:00,2021-12-01 19:35:18.264622+00:00,6
93,ee869889-b4e7-4350-a9b0-032fa0211201,2021-12-01 19:32:32.675616+00:00,2021-12-01 19:32:34.893049+00:00,2,2021-12-01 19:32:32.502529+00:00,2021-12-01 19:32:34.687229+00:00,2
94,2d7e4f88-7c07-4ace-bb76-f4a9c0211201,2021-12-01 19:43:42.890245+00:00,2021-12-01 19:43:50.546892+00:00,7,2021-12-01 19:43:35.340984+00:00,2021-12-01 19:43:46.113611+00:00,10
95,8685c73c-0d61-4562-b3b1-df85d0211201,2021-12-01 19:46:44.052299+00:00,2021-12-01 19:46:49.157369+00:00,5,2021-12-01 19:46:23.713102+00:00,2021-12-01 19:46:32.213036+00:00,8
96,f6e2861b-50ef-47dc-b01d-9022d0211201,2021-12-01 19:47:35.501218+00:00,2021-12-01 19:47:36.688332+00:00,1,2021-12-01 19:47:32.510155+00:00,2021-12-01 19:47:33.052100+00:00,0
97,422af2f7-f60e-4a2b-957f-816200211201,2021-12-01 19:46:08.055140+00:00,2021-12-01 19:46:12.724979+00:00,4,2021-12-01 19:46:04.181891+00:00,2021-12-01 19:46:08.900739+00:00,4
98,b8b706f6-0d23-424b-9363-ff5d00211201,2021-12-01 19:54:49.463314+00:00,2021-12-01 19:54:52.374759+00:00,2,2021-12-01 19:54:05.858101+00:00,2021-12-01 19:54:09.385817+00:00,3
99,7a4c26dd-1c62-438c-b01a-af2930211201,2021-12-01 19:52:11.620291+00:00,2021-12-01 19:52:13.932274+00:00,2,2021-12-01 19:52:12.132006+00:00,2021-12-01 19:52:15.695081+00:00,3
