"Time","processor.rule.act.timing.mean"
1638162000000,3159.9834703577
1638162300000,2228.029698192252
1638162600000,2085.372494186741
1638162900000,3090.902901590188
1638163200000,2563.9838252442605
1638163500000,3992.6573541116986
1638163800000,2503.951792445381
1638164100000,4388.447514333391
1638164400000,4377.140312454513
1638164700000,3541.770318452419
1638165000000,4533.498479188855
1638165300000,986.8695701331101
1638165600000,4570.117868060325
1638165900000,2403.805204688391
1638166200000,3091.56916537032
1638166500000,4185.255078188493
1638166800000,4317.003332606449
1638167100000,3628.455047509245
1638167400000,3237.521463435583
1638167700000,2838.290337094506
1638168000000,2793.5955028107046
1638168300000,3089.1016706464243
1638168600000,2913.2638967599623
1638168900000,2642.945473090101
1638169200000,2299.61598352093
1638169500000,3130.6779299632626
1638169800000,2437.315722264401
1638170100000,3510.7637092684904
1638170400000,2921.6774629183265
1638170700000,2691.3045659421527
1638171000000,2880.7465154724196
1638171300000,3505.5918752034677
1638171600000,3090.45678467186
1638171900000,2497.5836382950974
1638172200000,3747.2963881717687
1638172500000,2335.5797900636258
1638172800000,1560.8006689176132
1638173100000,2431.4138913917213
1638173400000,1935.085166882755
1638173700000,2524.408915781726
1638174000000,1405.1197439468547
1638174300000,2232.699273489039
1638174600000,2587.2248338417717
1638174900000,1466.0091021743453
1638175200000,2534.5287229914547
1638175500000,2813.947603118916
1638175800000,3004.080060775911
1638176100000,1621.645341543707
1638176400000,1924.5850799242776
1638176700000,3066.8740197026536
1638177000000,1850.3141550226032
1638177300000,2112.3153195413006
1638177600000,2919.1476257507857
1638177900000,4016.6159875313233
1638178200000,2305.651500942934
1638178500000,1932.7294380574244
1638178800000,2119.379931320873
1638179100000,2694.5863124739344
1638179400000,2393.083689762562
1638179700000,2808.669398725957
1638180000000,2465.831614886166
1638180300000,2684.0134775076403
1638180600000,3165.506022817237
1638180900000,2835.8797334817546
1638181200000,1907.042837255895
1638181500000,1888.0290825727632
1638181800000,1907.3527522520005
1638182100000,2487.323773848047
1638182400000,4049.57950811058
1638182700000,2985.087202238113
1638183000000,2332.4685351187695
1638183300000,3214.284964316934
1638183600000,2336.187557787903
1638183900000,3678.554049955144
1638184200000,2027.697813164604
1638184500000,3087.6815709945
1638184800000,3384.9266823924454
1638185100000,2572.217598084697
1638185400000,2716.867039786303
1638185700000,3320.3771932867326
1638186000000,2528.7088617774625
1638186300000,3733.1055105729774
1638186600000,2311.8316433417863
1638186900000,3186.2433247172758
1638187200000,1721.9760505321915
1638187500000,2080.3240990236036
1638187800000,2328.5816320968856
1638188100000,1607.5908617172624
1638188400000,3228.5442424990583
1638188700000,3522.305536990329
